win,loss,tie
8,8,0
8,8,0
4,12,0
5,9,1
4,12,0
10,6,0
6,10,0
4,12,0
9,7,0
9,7,0
9,7,0
11,5,0
13,3,0
13,3,0
11,5,0
8,8,0
9,7,0
12,4,0
12,4,0
10,6,0
10,6,0
4,12,0
8,8,0
13,3,0
6,10,0
11,5,0
10,6,0
15,1,0
11,5,0
8,7,1
12,4,0
10,6,0
10,6,0
7,9,0
6,9,1
3,11,0
9,4,1
7,7,0
6,6,2
3,10,1
4,9,1
1,13,0
1,13,0
7,7,0
10,4,0
5,9,0
8,6,0
10,6,0
11,5,0
11,5,0
7,9,0
1,8,0
2,14,0
3,13,0
5,11,0
5,11,0
9,6,0
10,6,0
9,7,0
9,7,0
11,5,0
10,6,0
12,4,0
2,14,0
7,9,0
8,8,0
4,12,0
5,11,0
7,9,0
2,14,0
6,10,0
8,8,0
8,8,0
9,7,0
6,10,0
10,6,0
12,4,0
2,14,0
9,7,0
9,7,0
9,7,0
4,12,0
11,5,0
4,12,0
5,11,0
3,13,0
9,6,0
9,7,0
8,8,0
7,9,0
1,15,0
9,7,0
4,12,0
8,8,0
9,7,0
9,7,0
3,13,0
3,13,0
13,3,0
10,6,0
6,10,0
10,6,0
12,4,0
12,4,0
14,2,0
12,4,0
13,3,0
12,4,0
14,2,0
10,6,0
2,14,0
11,5,0
11,5,0
11,5,0
8,8,0
8,8,0
4,12,0
10,6,0
4,12,0
9,7,0
11,5,0
11,5,0
14,2,0
7,9,0
6,10,0
6,10,0
5,11,0
9,7,0
12,4,0
8,8,0
11,5,0
5,11,0
7,9,0
8,8,0
5,11,0
2,14,0
4,12,0
3,13,0
5,11,0
3,13,0
10,6,0
5,11,0
11,2,1
9,5,0
12,2,0
11,3,0
7,5,2
10,3,1
8,6,0
7,5,2
5,9,0
5,9,0
5,9,0
1,6,0
4,12,0
7,9,0
8,8,0
9,7,0
3,6,0
6,10,0
8,8,0
6,10,0
10,6,0
4,11,0
4,11,1
8,7,1
11,5,0
10,6,0
10,6,0
11,5,0
9,7,0
13,3,0
9,7,0
13,3,0
7,9,0
9,7,0
7,9,0
6,10,0
8,8,0
13,3,0
7,9,0
10,6,0
9,7,0
4,12,0
2,14,0
4,12,0
10,6,0
7,9,0
2,14,0
11,5,0
9,7,0
11,5,0
12,4,0
10,6,0
12,4,0
9,7,0
12,4,0
8,1,0
12,4,0
11,5,0
12,4,0
8,8,0
5,10,0
7,9,0
8,8,0
12,4,0
9,7,0
7,9,0
10,6,0
9,7,0
8,6,0
11,1,2
10,3,1
11,3,0
9,4,1
8,5,1
6,7,1
12,2,0
10,4,0
12,2,0
10,3,1
10,4,0
12,4,0
9,7,0
11,5,0
6,10,0
2,7,0
9,7,0
10,6,0
11,5,0
10,6,0
6,9,0
10,6,0
11,5,0
5,11,0
3,13,0
6,10,0
5,11,0
4,12,0
4,12,0
11,5,0
13,3,0
3,11,0
4,10,0
5,8,1
3,10,1
10,4,0
10,3,1
14,0,0
12,2,0
11,3,0
10,4,0
6,8,0
10,4,0
11,5,0
10,6,0
8,8,0
11,4,1
7,2,0
12,4,0
14,2,0
12,4,0
8,8,0
8,7,0
6,10,0
8,8,0
12,4,0
8,8,0
11,5,0
9,7,0
10,6,0
9,7,0
8,8,0
9,7,0
10,6,0
9,7,0
11,5,0
11,5,0
9,7,0
10,6,0
4,12,0
9,7,0
6,10,0
1,15,0
11,5,0
7,9,0
7,9,0
6,10,0
7,9,0
8,8,0
8,8,0
6,10,0
10,6,0
6,10,0
7,9,0
4,9,1
3,8,3
8,6,0
12,2,0
12,2,0
11,3,0
7,7,0
12,2,0
10,4,0
12,2,0
11,2,1
9,5,0
8,7,1
7,9,0
9,7,0
7,9,0
5,4,0
8,8,0
3,13,0
7,9,0
9,7,0
8,7,0
11,5,0
10,6,0
6,10,0
8,8,0
11,5,0
9,7,0
10,6,0
8,8,0
9,7,0
9,7,0
15,1,0
10,6,0
11,5,0
5,11,0
